StationID,ActivityStartDate,ActivityStartTime/Time,organic_carbon_units,organic_carbon,Depth_m,Source
CW-222,8/29/2002,11:30:00 AM,mg/L,6.5,0.3,DHEC
CW-232,3/25/2002,10:30:00 AM,mg/L,11,0.3,DHEC
CW-009,6/26/2002,1:20:00 PM,mg/L,3.9,0.3,DHEC
CW-224,9/17/2002,9:50:00 AM,mg/L,8.4,0.3,DHEC
RS-02321,8/21/2002,1:35:00 PM,mg/L,14,0.3,DHEC
CW-145,12/10/2002,2:35:00 PM,mg/L,7.1,0.3,DHEC
CW-225,9/17/2002,10:15:00 AM,mg/L,6.8,0.3,DHEC
CW-014,6/26/2002,2:30:00 PM,mg/L,4.3,0.3,DHEC
CW-233,6/4/2002,11:15:00 AM,mg/L,3.6,0.3,DHEC
CW-131,3/25/2002,10:50:00 AM,mg/L,11,0.3,DHEC
CL-089,8/22/2002,11:30:00 AM,mg/L,6,0.3,DHEC
CW-233,3/13/2002,11:30:00 AM,mg/L,4.4,0.3,DHEC
CW-236,12/5/2002,1:55:00 PM,mg/L,9.7,0.3,DHEC
CW-221,12/12/2002,2:50:00 PM,mg/L,2.4,0.3,DHEC
CL-089,5/2/2002,12:15:00 PM,mg/L,7.3,0.3,DHEC
RL-02452,3/14/2002,1:15:00 PM,mg/L,6.2,0.3,DHEC
CW-072,5/28/2002,10:25:00 AM,mg/L,4.5,0.3,DHEC
CW-225,12/11/2002,11:15:00 AM,mg/L,9.3,0.3,DHEC
CL-078,3/7/2002,2:30:00 PM,mg/L,6.9,0.3,DHEC
CW-235,12/5/2002,12:40:00 PM,mg/L,9.1,0.3,DHEC
CW-131,6/25/2002,11:45:00 AM,mg/L,8.3,0.3,DHEC
CW-236,3/13/2002,11:15:00 AM,mg/L,4.1,0.3,DHEC
CW-234,3/13/2002,12:00:00 PM,mg/L,6.1,0.3,DHEC
CW-021,8/13/2002,10:45:00 AM,mg/L,4.5,0.3,DHEC
CL-078,6/27/2002,11:15:00 AM,mg/L,7.4,0.3,DHEC
CW-064,6/26/2002,11:30:00 AM,mg/L,7.9,0.3,DHEC
CW-209,2/14/2002,10:50:00 AM,mg/L,6.3,0.3,DHEC
RL-02452,12/17/2002,1:05:00 PM,mg/L,7.5,0.3,DHEC
CW-017,6/25/2002,10:40:00 AM,mg/L,6.6,0.3,DHEC
CW-036,3/27/2002,11:00:00 AM,mg/L,7.8,0.3,DHEC
CW-207,2/14/2002,11:15:00 AM,mg/L,7.1,0.3,DHEC
CW-223,9/26/2002,12:30:00 PM,mg/L,7.3,0.3,DHEC
CW-207,5/2/2002,1:05:00 PM,mg/L,7.9,0.3,DHEC
CW-005,12/11/2002,12:40:00 PM,mg/L,8,0.3,DHEC
CW-154,12/16/2002,1:10:00 PM,mg/L,5.8,0.3,DHEC
CW-176,3/25/2002,12:25:00 PM,mg/L,5.4,0.3,DHEC
CW-019,3/25/2002,2:45:00 PM,mg/L,6.2,0.3,DHEC
CW-227,9/19/2002,2:00:00 PM,mg/L,14,0.3,DHEC
CW-240,8/21/2002,8:50:00 AM,mg/L,4,0.3,DHEC
CW-131,12/10/2002,11:00:00 AM,mg/L,14,0.3,DHEC
CW-013,3/27/2002,11:20:00 AM,mg/L,6.4,0.3,DHEC
CW-203,3/27/2002,1:30:00 PM,mg/L,4.2,0.3,DHEC
CW-008,3/13/2002,12:20:00 PM,mg/L,4.2,0.3,DHEC
CW-036,9/25/2002,10:35:00 AM,mg/L,7.1,0.3,DHEC
CW-232,12/10/2002,10:40:00 AM,mg/L,10,0.3,DHEC
CW-006,3/27/2002,11:20:00 AM,mg/L,4.2,0.3,DHEC
CW-240,11/12/2002,11:45:00 AM,mg/L,3.9,0.3,DHEC
CW-166,11/12/2002,12:25:00 PM,mg/L,9.2,0.3,DHEC
CW-040,8/21/2002,1:10:00 PM,mg/L,7.1,0.3,DHEC
CW-206,11/12/2002,11:20:00 AM,mg/L,5.2,0.3,DHEC
CW-011,3/27/2002,1:45:00 PM,mg/L,4.2,0.3,DHEC
CL-089,2/14/2002,10:15:00 AM,mg/L,6.1,0.3,DHEC
CW-236,6/4/2002,11:00:00 AM,mg/L,2.6,0.3,DHEC
CW-080,5/23/2002,12:35:00 PM,mg/L,6.5,0.3,DHEC
CW-227,12/10/2002,3:00:00 PM,mg/L,6.9,0.3,DHEC
CW-235,3/13/2002,10:00:00 AM,mg/L,4.2,0.3,DHEC
CL-089,11/14/2002,11:45:00 AM,mg/L,5.5,0.3,DHEC
CW-019,6/12/2002,2:35:00 PM,mg/L,5.4,0.3,DHEC
CW-080,11/26/2002,12:45:00 PM,mg/L,6.2,0.3,DHEC
CW-041,9/30/2002,11:20:00 AM,mg/L,3,0.3,DHEC
CW-221,6/20/2002,1:50:00 PM,mg/L,3.1,0.3,DHEC
RL-02319,12/17/2002,1:15:00 PM,mg/L,8.3,0.3,DHEC
CW-047,12/10/2002,11:10:00 AM,mg/L,14,0.3,DHEC
CW-008,9/3/2002,12:30:00 PM,mg/L,9.6,0.3,DHEC
CW-225,3/27/2002,11:00:00 AM,mg/L,4.5,0.3,DHEC
CW-224,12/11/2002,10:50:00 AM,mg/L,7.5,0.3,DHEC
CW-009,3/27/2002,1:10:00 PM,mg/L,4.9,0.3,DHEC
CW-222,5/30/2002,10:35:00 AM,mg/L,7.1,0.3,DHEC
CW-228,11/25/2002,1:15:00 PM,mg/L,7,0.3,DHEC
CW-072,11/6/2002,9:25:00 AM,mg/L,16,0.3,DHEC
CW-208,2/14/2002,11:55:00 AM,mg/L,6.9,0.3,DHEC
CW-234,12/5/2002,2:35:00 PM,mg/L,10,0.3,DHEC
CW-174,6/4/2002,10:30:00 AM,mg/L,8.5,0.3,DHEC
CW-174,9/3/2002,10:05:00 AM,mg/L,6.3,0.3,DHEC
CW-016,6/13/2002,10:50:00 AM,mg/L,5.7,0.3,DHEC
CW-021,5/29/2002,11:00:00 AM,mg/L,4.4,0.3,DHEC
CW-185,3/25/2002,11:50:00 AM,mg/L,11,0.3,DHEC
CW-233,9/3/2002,10:55:00 AM,mg/L,7.2,0.3,DHEC
CW-227,6/25/2002,2:55:00 PM,mg/L,2.2,0.3,DHEC
CW-185,6/25/2002,1:00:00 PM,mg/L,12,0.3,DHEC
CW-207,8/22/2002,11:00:00 AM,mg/L,6.4,0.3,DHEC
CW-176,12/10/2002,1:00:00 PM,mg/L,4.4,0.3,DHEC
CW-016,9/30/2002,10:10:00 AM,mg/L,6.5,0.3,DHEC
CW-064,3/27/2002,11:45:00 AM,mg/L,7.6,0.3,DHEC
CW-016,3/14/2002,10:30:00 AM,mg/L,6.4,0.3,DHEC
CW-096,9/17/2002,10:05:00 AM,mg/L,8.5,0.3,DHEC
CW-154,6/12/2002,1:55:00 PM,mg/L,4.1,0.3,DHEC
CW-223,3/25/2002,1:00:00 PM,mg/L,3,0.3,DHEC
CW-057,9/30/2002,10:30:00 AM,mg/L,6.5,0.3,DHEC
CW-231,3/14/2002,12:35:00 PM,mg/L,6.1,0.3,DHEC
CW-016F,12/17/2002,11:15:00 AM,mg/L,5.7,0.3,DHEC
CW-155,9/26/2002,1:20:00 PM,mg/L,11,0.3,DHEC
CW-033,3/14/2002,12:45:00 PM,mg/L,6.5,0.3,DHEC
RL-02314,8/22/2002,10:45:00 AM,mg/L,6.2,0.3,DHEC
CW-250,11/12/2002,12:00:00 PM,mg/L,6.4,0.3,DHEC
CW-223,6/12/2002,1:25:00 PM,mg/L,4.3,0.3,DHEC
CW-021,11/26/2002,11:55:00 AM,mg/L,5.8,0.3,DHEC
CW-237,5/23/2002,11:10:00 AM,mg/L,6.9,0.3,DHEC
RL-02314,2/14/2002,11:35:00 AM,mg/L,7.3,0.3,DHEC
CW-207,11/14/2002,11:00:00 AM,mg/L,6.6,0.3,DHEC
CW-212,12/11/2002,1:20:00 PM,mg/L,8.6,0.3,DHEC
CW-154,3/25/2002,2:00:00 PM,mg/L,4.9,0.3,DHEC
CW-229,11/25/2002,12:55:00 PM,mg/L,5.6,0.3,DHEC
CW-185,9/19/2002,11:00:00 AM,mg/L,14,0.3,DHEC
CW-006,9/17/2002,10:30:00 AM,mg/L,7,0.3,DHEC
CL-078,9/4/2002,2:40:00 PM,mg/L,5.6,0.3,DHEC
CW-175,9/3/2002,10:20:00 AM,mg/L,8.5,0.3,DHEC
CW-019,12/16/2002,1:50:00 PM,mg/L,6.7,0.3,DHEC
CW-079,5/23/2002,1:00:00 PM,mg/L,7.2,0.3,DHEC
CW-017,12/10/2002,10:30:00 AM,mg/L,11,0.3,DHEC
CW-224,3/27/2002,10:30:00 AM,mg/L,5.2,0.3,DHEC
CW-155,12/16/2002,1:20:00 PM,mg/L,8.3,0.3,DHEC
CW-151,3/25/2002,11:25:00 AM,mg/L,12,0.3,DHEC
CW-013,6/26/2002,2:10:00 PM,mg/L,5.8,0.3,DHEC
CW-166,5/23/2002,1:40:00 PM,mg/L,5.7,0.3,DHEC
CW-229,2/26/2002,12:00:00 PM,mg/L,6.1,0.3,DHEC
CW-206,5/15/2002,12:30:00 PM,mg/L,5.8,0.3,DHEC
CW-250,8/21/2002,8:30:00 AM,mg/L,3.3,0.3,DHEC
CW-057,3/14/2002,11:25:00 AM,mg/L,6.5,0.3,DHEC
CW-238,8/13/2002,11:15:00 AM,mg/L,11,0.3,DHEC
CW-083,6/25/2002,2:00:00 PM,mg/L,5.3,0.3,DHEC
CW-238,11/26/2002,11:10:00 AM,mg/L,5.4,0.3,DHEC
CW-174,3/13/2002,11:00:00 AM,mg/L,7.1,0.3,DHEC
CW-206,8/21/2002,9:15:00 AM,mg/L,4.8,0.3,DHEC
CW-041,6/20/2002,2:30:00 PM,mg/L,4.3,0.3,DHEC
CW-033,6/13/2002,1:10:00 PM,mg/L,6.3,0.3,DHEC
CW-080,2/19/2002,1:10:00 PM,mg/L,4.3,0.3,DHEC
CW-002,3/13/2002,1:10:00 PM,mg/L,15,0.3,DHEC
CW-208,11/14/2002,10:20:00 AM,mg/L,7,0.3,DHEC
CW-008,6/4/2002,12:05:00 PM,mg/L,4.6,0.3,DHEC
CW-250,5/15/2002,1:25:00 PM,mg/L,5.3,0.3,DHEC
CW-175,6/4/2002,10:45:00 AM,mg/L,7.2,0.3,DHEC
CW-047,3/25/2002,11:05:00 AM,mg/L,11,0.3,DHEC
CW-233,12/5/2002,2:15:00 PM,mg/L,5.9,0.3,DHEC
RL-02314,11/14/2002,10:45:00 AM,mg/L,5.5,0.3,DHEC
CW-083,3/25/2002,2:10:00 PM,mg/L,8.7,0.3,DHEC
CW-176,6/25/2002,1:35:00 PM,mg/L,4.4,0.3,DHEC
CW-231,12/17/2002,12:30:00 PM,mg/L,2.9,0.3,DHEC
CW-203,9/25/2002,12:45:00 PM,mg/L,3.5,0.3,DHEC
CW-238,5/29/2002,10:30:00 AM,mg/L,10,0.3,DHEC
CW-229,5/28/2002,12:10:00 PM,mg/L,7.2,0.3,DHEC
CL-021,12/11/2002,11:50:00 AM,mg/L,7.4,0.3,DHEC
RL-02314,5/2/2002,1:50:00 PM,mg/L,7.7,0.3,DHEC
CW-232,6/25/2002,10:55:00 AM,mg/L,7.8,0.3,DHEC
CW-017,9/19/2002,9:35:00 AM,mg/L,19,0.3,DHEC
CW-083,12/10/2002,2:20:00 PM,mg/L,8,0.3,DHEC
CW-033,12/17/2002,12:40:00 PM,mg/L,9.4,0.3,DHEC
CW-016,12/17/2002,11:00:00 AM,mg/L,6.4,0.3,DHEC
CW-013,9/25/2002,10:55:00 AM,mg/L,6.7,0.3,DHEC
CW-040,11/6/2002,9:50:00 AM,mg/L,10,0.3,DHEC
CW-145,9/19/2002,1:20:00 PM,mg/L,21,0.3,DHEC
CW-145,3/25/2002,2:25:00 PM,mg/L,8.3,0.3,DHEC
CL-021,9/12/2002,10:15:00 AM,mg/L,6.3,0.3,DHEC
CW-223,12/16/2002,12:20:00 PM,mg/L,3.6,0.3,DHEC
CW-006,6/5/2002,11:45:00 AM,mg/L,3.3,0.3,DHEC
CW-174,12/5/2002,1:20:00 PM,mg/L,6.1,0.3,DHEC
CW-005,6/5/2002,12:35:00 PM,mg/L,6.5,0.3,DHEC
CW-236,9/3/2002,10:35:00 AM,mg/L,5.8,0.3,DHEC
CW-166,8/13/2002,9:10:00 AM,mg/L,3.8,0.3,DHEC
CL-021,6/6/2002,10:30:00 AM,mg/L,3.3,0.3,DHEC
RS-02321,2/26/2002,10:40:00 AM,mg/L,2.6,0.3,DHEC
CW-005,3/27/2002,12:10:00 PM,mg/L,4.7,0.3,DHEC
CW-155,3/25/2002,2:15:00 PM,mg/L,6.5,0.3,DHEC
CW-072,2/20/2002,12:35:00 PM,mg/L,4.9,0.3,DHEC
CW-227,3/25/2002,2:55:00 PM,mg/L,6.4,0.3,DHEC
CW-250,2/13/2002,10:50:00 AM,mg/L,3.2,0.3,DHEC
CW-240,2/13/2002,11:15:00 AM,mg/L,3.6,0.3,DHEC
CW-224,6/5/2002,10:55:00 AM,mg/L,7.5,0.3,DHEC
CW-237,11/26/2002,12:20:00 PM,mg/L,6.4,0.3,DHEC
CW-014,9/25/2002,2:05:00 PM,mg/L,3,0.3,DHEC
CW-228,2/26/2002,11:25:00 AM,mg/L,4.2,0.3,DHEC
CW-088,3/5/2002,2:20:00 PM,mg/L,10,0.3,DHEC
CW-017,3/25/2002,10:15:00 AM,mg/L,11,0.3,DHEC
CW-002,12/5/2002,3:10:00 PM,mg/L,14,0.3,DHEC
CW-002,9/3/2002,12:50:00 PM,mg/L,13,0.3,DHEC
CW-145,6/25/2002,2:20:00 PM,mg/L,3.2,0.3,DHEC
CW-154,9/26/2002,1:05:00 PM,mg/L,11,0.3,DHEC
CW-096,12/11/2002,11:05:00 AM,mg/L,8,0.3,DHEC
CW-151,12/10/2002,11:55:00 AM,mg/L,15,0.3,DHEC
CW-238,2/19/2002,10:30:00 AM,mg/L,6.4,0.3,DHEC
CW-096,3/27/2002,10:45:00 AM,mg/L,4.1,0.3,DHEC
CW-036,6/26/2002,11:10:00 AM,mg/L,7,0.3,DHEC
CW-131,9/19/2002,10:05:00 AM,mg/L,13,0.3,DHEC
CW-240,5/15/2002,1:00:00 PM,mg/L,4.2,0.3,DHEC
CW-064,9/25/2002,11:15:00 AM,mg/L,9.5,0.3,DHEC
CW-079,11/26/2002,1:10:00 PM,mg/L,7.4,0.3,DHEC
CW-002,6/4/2002,1:05:00 PM,mg/L,9.3,0.3,DHEC
CW-237,8/13/2002,10:15:00 AM,mg/L,5.2,0.3,DHEC
CW-079,2/19/2002,1:30:00 PM,mg/L,5.4,0.3,DHEC
CW-011,6/26/2002,1:55:00 PM,mg/L,3.2,0.3,DHEC
CW-009,9/25/2002,12:30:00 PM,mg/L,4.9,0.3,DHEC
CW-208,8/22/2002,10:25:00 AM,mg/L,6.4,0.3,DHEC
CW-019,9/26/2002,1:40:00 PM,mg/L,6,0.3,DHEC
CW-057,6/13/2002,11:25:00 AM,mg/L,9.5,0.3,DHEC
CW-016F,3/14/2002,10:55:00 AM,mg/L,5.9,0.3,DHEC
CL-078,12/10/2002,8:15:00 AM,mg/L,3.2,0.3,DHEC
CW-237,2/19/2002,12:30:00 PM,mg/L,4.6,0.3,DHEC
CW-221,3/28/2002,1:40:00 PM,mg/L,3,0.3,DHEC
CW-212,3/27/2002,12:40:00 PM,mg/L,3.6,0.3,DHEC
CW-203,6/26/2002,1:35:00 PM,mg/L,6.7,0.3,DHEC
CW-011,9/25/2002,1:45:00 PM,mg/L,4.5,0.3,DHEC
CW-083,9/19/2002,1:05:00 PM,mg/L,15,0.3,DHEC
CW-096,6/5/2002,11:10:00 AM,mg/L,6.4,0.3,DHEC
CW-029,3/20/2002,10:30:00 AM,mg/L,4.6,0.3,DHEC
CW-155,6/12/2002,2:10:00 PM,mg/L,7.3,0.3,DHEC
CW-016F,6/13/2002,11:05:00 AM,mg/L,7.6,0.3,DHEC
RS-02321,11/25/2002,1:40:00 PM,mg/L,3.3,0.3,DHEC
RL-02452,6/13/2002,1:45:00 PM,mg/L,7.6,0.3,DHEC
CW-209,8/22/2002,11:15:00 AM,mg/L,6.3,0.3,DHEC
CW-006,12/11/2002,11:25:00 AM,mg/L,7.9,0.3,DHEC
CW-231,6/13/2002,12:55:00 PM,mg/L,5,0.3,DHEC
CW-166,2/19/2002,9:30:00 AM,mg/L,4.3,0.3,DHEC
CW-222,11/25/2002,11:10:00 AM,mg/L,5.3,0.3,DHEC
CW-238,2/10/2003,11:25:00 AM,mg/L,9.3,0.3,DHEC
CW-021,11/6/2003,12:10:00 PM,mg/L,8.3,0.3,DHEC
CW-206,11/13/2003,12:00:00 PM,mg/L,4.3,0.3,DHEC
CW-235,6/2/2003,2:00:00 PM,mg/L,9.1,0.3,DHEC
CW-234,9/9/2003,3:15:00 PM,mg/L,8.4,0.3,DHEC
CW-238,8/6/2003,8:50:00 AM,mg/L,13,0.3,DHEC
RL-03336,2/20/2003,9:55:00 AM,mg/L,7.4,0.3,DHEC
CW-225,6/4/2003,10:30:00 AM,mg/L,9.4,0.3,DHEC
CW-057,9/29/2003,3:26:00 PM,mg/L,5.5,0.3,DHEC
CW-072,2/3/2003,11:20:00 AM,mg/L,9.6,0.3,DHEC
CW-231,12/18/2003,10:15:00 AM,mg/L,5,0.3,DHEC
RL-03353,12/18/2003,10:45:00 AM,mg/L,4.4,0.3,DHEC
CW-145,12/11/2003,10:15:00 AM,mg/L,5.1,0.3,DHEC
CW-014,6/19/2003,11:20:00 AM,mg/L,5.7,0.3,DHEC
CW-083,9/17/2003,11:10:00 AM,mg/L,4.2,0.3,DHEC
RL-03332,12/18/2003,12:05:00 PM,mg/L,3.8,0.3,DHEC
CW-014,12/11/2003,1:55:00 PM,mg/L,2,0.3,DHEC
CW-016,9/29/2003,3:45:00 PM,mg/L,5,0.3,DHEC
CW-206,2/4/2003,11:25:00 AM,mg/L,4.9,0.3,DHEC
CW-041,9/18/2003,2:40:00 PM,mg/L,4.9,0.3,DHEC
CW-231,6/30/2003,10:15:00 AM,mg/L,5.8,0.3,DHEC
CW-250,2/4/2003,12:15:00 PM,mg/L,3.6,0.3,DHEC
CW-233,9/8/2003,1:50:00 PM,mg/L,7.3,0.3,DHEC
CW-166,11/19/2003,10:00:00 AM,mg/L,8.5,0.3,DHEC
CW-250,11/18/2003,10:20:00 AM,mg/L,4.7,0.3,DHEC
CW-236,9/8/2003,2:20:00 PM,mg/L,4.8,0.3,DHEC
RL-03353,6/30/2003,10:40:00 AM,mg/L,6.1,0.3,DHEC
CW-080,8/5/2003,9:25:00 AM,mg/L,11,0.3,DHEC
CW-021,8/5/2003,12:15:00 PM,mg/L,12,0.3,DHEC
RL-03353,3/31/2003,11:35:00 AM,mg/L,7.6,0.3,DHEC
RS-03511,12/11/2003,2:40:00 PM,mg/L,3.8,0.3,DHEC
CW-235,3/12/2003,11:15:00 AM,mg/L,6.1,0.3,DHEC
CW-233,12/17/2003,11:15:00 AM,mg/L,4.9,0.3,DHEC
RL-03351,3/31/2003,1:40:00 PM,mg/L,7.6,0.3,DHEC
CW-222,8/14/2003,11:05:00 AM,mg/L,5.5,0.3,DHEC
CW-016,6/23/2003,2:55:00 PM,mg/L,4.9,0.3,DHEC
CW-036,6/19/2003,1:50:00 PM,mg/L,9.4,0.3,DHEC
CW-021,5/15/2003,12:30:00 PM,mg/L,10,0.3,DHEC
CW-079,5/15/2003,9:35:00 AM,mg/L,7.3,0.3,DHEC
RS-03511,6/19/2003,10:45:00 AM,mg/L,9.1,0.3,DHEC
CW-231,3/31/2003,11:05:00 AM,mg/L,7.2,0.3,DHEC
RL-03351,12/18/2003,11:30:00 AM,mg/L,4.6,0.3,DHEC
