Site,Date,BioDataTaxonName,ALGALGROUP,Cells,Cells_Unit,Biovolume,Biovolume_unit
CW-057,8/1/2017,Staurastrum_sp.,Green_Algae,25.25,Cells_per_mL,14030.8,um3_per_mL
CW-057,8/1/2017,Chlamydomonas_spp.,Green_Algae,176.77,Cells_per_mL,87263.48,um3_per_mL
CW-057,8/1/2017,Cosmarium_spp.,Green_Algae,50.5,Cells_per_mL,21305.76,um3_per_mL
CW-057,8/1/2017,Chlorella_spp.,Green_Algae,1818.16,Cells_per_mL,62761.96,um3_per_mL
CW-057,8/1/2017,Pseudanabaena_spp.,Blue-green_Algae,1944.42,Cells_per_mL,17575.75,um3_per_mL
CW-057,8/1/2017,Scenedesmus_spp.,Green_Algae,606.05,Cells_per_mL,22988.88,um3_per_mL
CW-057,8/1/2017,Euastrum_spp.,Green_Algae,25.25,Cells_per_mL,60039.66,um3_per_mL
CW-057,8/1/2017,Planktolyngbya_sp.,Blue-Green_Algae,126.26,Cells_per_mL,619.79,um3_per_mL
CW-057,8/1/2017,Merismopedia_spp.,Blue-Green_Algae,22626.03,Cells_per_mL,23102.84,um3_per_mL
CW-057,8/1/2017,Chroococcus_spp.,Blue-Green_Algae,1540.39,Cells_per_mL,15646.1,um3_per_mL
CW-057,8/1/2017,Tetraedron_spp.,Green_Algae,25.25,Cells_per_mL,46.07,um3_per_mL
CW-057,8/1/2017,Leptolyngbya_spp.,Blue-Green_Algae,3358.55,Cells_per_mL,26977.2,um3_per_mL
CW-057,8/1/2017,Dactylococcopsis_spp.,Blue-Green_Algae,883.83,Cells_per_mL,6047.35,um3_per_mL
CL-089,8/2/2017,Pennate_Diatom_spp._Live,Diatom,228.64,Cells_per_mL,26128.28,um3_per_mL
CL-089,8/2/2017,Centric_Diatom_spp._Live,Diatom,83.14,Cells_per_mL,20467.64,um3_per_mL
CL-089,8/2/2017,Chlamydomonas_spp.,Green_Algae,20.79,Cells_per_mL,10261.3,um3_per_mL
CL-089,8/2/2017,Chlorella_spp.,Green_Algae,727.51,Cells_per_mL,25113.09,um3_per_mL
CL-089,8/2/2017,Scenedesmus_spp.,Green_Algae,602.79,Cells_per_mL,22865.07,um3_per_mL
CL-089,8/2/2017,Merismopedia_spp.,Blue-Green_Algae,415.72,Cells_per_mL,424.48,um3_per_mL
CL-089,8/2/2017,Chroococcus_spp.,Blue-Green_Algae,11390.66,Cells_per_mL,115697.77,um3_per_mL
CL-089,8/2/2017,Kirchneriella_spp.,Green_Algae,124.72,Cells_per_mL,1442.82,um3_per_mL
CL-089,8/2/2017,Tetraedron_spp.,Green_Algae,41.57,Cells_per_mL,75.85,um3_per_mL
CL-089,8/2/2017,Cylindrospermopsis_spp.,Blue-Green_Algae,436.5,Cells_per_mL,14716.25,um3_per_mL
CL-089,8/2/2017,Romeria_spp.,Blue-Green_Algae,956.15,Cells_per_mL,2941.18,um3_per_mL
CL-089,8/2/2017,Pseudanabaena_spp.,Blue-Green_Algae,145.5,Cells_per_mL,1315.19,um3_per_mL
CL-089,8/2/2017,Dactylococcopsis_spp.,Blue-Green_Algae,1870.73,Cells_per_mL,12799.93,um3_per_mL
CW-207A,8/2/2017,Pennate_Diatom_spp._Live,Diatom,211.64,Cells_per_mL,25792.85,um3_per_mL
CW-207A,8/2/2017,Centric_Diatom_spp._Live,Diatom,272.11,Cells_per_mL,102267.08,um3_per_mL
CW-207A,8/2/2017,Chlamydomonas_spp.,Green_Algae,226.76,Cells_per_mL,106266.78,um3_per_mL
CW-207A,8/2/2017,Cosmarium_spp.,Green_Algae,15.12,Cells_per_mL,6377.23,um3_per_mL
CW-207A,8/2/2017,Gymnodinium_sp.,Dinoflagellate,15.12,Cells_per_mL,79152.63,um3_per_mL
CW-207A,8/2/2017,Scenedesmus_spp.,Green_Algae,393.04,Cells_per_mL,9822.58,um3_per_mL
CW-207A,8/2/2017,Monoraphidium_spp.,Green_Algae,831.44,Cells_per_mL,10497.52,um3_per_mL
CW-207A,8/2/2017,Merismopedia_spp.,Blue-Green_Algae,5079.31,Cells_per_mL,3610.54,um3_per_mL
CW-207A,8/2/2017,Coelastrum_spp.,Green_Algae,45.35,Cells_per_mL,2673.24,um3_per_mL
CW-207A,8/2/2017,Chroococcus_spp.,Blue-Green_Algae,6591.01,Cells_per_mL,49443.27,um3_per_mL
CW-207A,8/2/2017,Kirchneriella_spp.,Green_Algae,60.47,Cells_per_mL,578.9,um3_per_mL
CW-207A,8/2/2017,Tetraedron_spp.,Green_Algae,15.12,Cells_per_mL,23.27,um3_per_mL
CW-207A,8/2/2017,Cylindrospermopsis_spp.,Blue-Green_Algae,3204.8,Cells_per_mL,108046.57,um3_per_mL
CW-207A,8/2/2017,Romeria_spp.,Blue-Green_Algae,604.68,Cells_per_mL,1637.18,um3_per_mL
CW-207A,8/2/2017,Pseudanabaena_spp.,Blue-Green_Algae,332.57,Cells_per_mL,3627.89,um3_per_mL
CW-207A,8/2/2017,Anabaenopsis_spp.,Blue-Green_Algae,256.99,Cells_per_mL,8666.02,um3_per_mL
CW-207A,8/2/2017,Stauridium_spp.,Green_Algae,60.47,Cells_per_mL,3591.36,um3_per_mL
CW-16F,8/3/2017,Pennate_Diatom_spp._Live,Diatom,175.62,Cells_per_mL,37598.46,um3_per_mL
CW-16F,8/3/2017,Centric_Diatom_spp._Live,Diatom,929.74,Cells_per_mL,349430.12,um3_per_mL
CW-16F,8/3/2017,Trachelomonas_sp.,Euglenoids,82.64,Cells_per_mL,79062.08,um3_per_mL
CW-16F,8/3/2017,Chlamydomonas_spp.,Green_Algae,196.28,Cells_per_mL,91984.43,um3_per_mL
CW-16F,8/3/2017,Chlorella_spp.,Green_Algae,175.62,Cells_per_mL,14432.9,um3_per_mL
CW-16F,8/3/2017,Scenedesmus_spp.,Green_Algae,2427.66,Cells_per_mL,111710.29,um3_per_mL
CW-16F,8/3/2017,Monoraphidium_spp.,Green_Algae,175.62,Cells_per_mL,3566.95,um3_per_mL
CW-16F,8/3/2017,Merismopedia_spp.,Blue-Green_Algae,1053.71,Cells_per_mL,4347.92,um3_per_mL
CW-16F,8/3/2017,Golenkinia_spp.,Green_Algae,51.65,Cells_per_mL,14419.06,um3_per_mL
CW-16F,8/3/2017,Aphanocapsa_spp.,Blue-Green_Algae,4328.47,Cells_per_mL,7345.4,um3_per_mL
CW-16F,8/3/2017,Treubaria_spp.,Green_Algae,10.33,Cells_per_mL,3565.27,um3_per_mL
CW-16F,8/3/2017,Coelastrum_spp.,Green_Algae,134.3,Cells_per_mL,7916.15,um3_per_mL
CW-16F,8/3/2017,Chroococcus_spp.,Blue-Green_Algae,898.75,Cells_per_mL,6742.09,um3_per_mL
CW-16F,8/3/2017,Kirchneriella_spp.,Green_Algae,134.3,Cells_per_mL,976.01,um3_per_mL
CW-16F,8/3/2017,Tetraedron_spp.,Green_Algae,20.66,Cells_per_mL,31.81,um3_per_mL
CW-16F,8/3/2017,Crucigeniella_spp.,Green_Algae,1115.69,Cells_per_mL,10687.47,um3_per_mL
CW-16F,8/3/2017,Pediastrum_spp.,Green_Algae,123.97,Cells_per_mL,2907.98,um3_per_mL
CW-207A,8/28/2017,Pennate_Diatom_spp._Live,Diatom,149.66,Cells_per_mL,18239.23,um3_per_mL
CW-207A,8/28/2017,Centric_Diatom_spp._Live,Diatom,249.43,Cells_per_mL,93744.82,um3_per_mL
CW-207A,8/28/2017,Cryptomonas_spp.,Green_Algae,199.54,Cells_per_mL,40863.79,um3_per_mL
CW-207A,8/28/2017,Mallomonas_spp.,Yellow-Green_Algae,49.89,Cells_per_mL,20793.6,um3_per_mL
CW-207A,8/28/2017,Trachelomonas_sp.,Euglenoids,49.89,Cells_per_mL,47724.09,um3_per_mL
CW-207A,8/28/2017,Chlamydomonas_spp.,Green_Algae,199.54,Cells_per_mL,93514.76,um3_per_mL
CW-207A,8/28/2017,Cosmarium_spp.,Green_Algae,99.77,Cells_per_mL,42089.75,um3_per_mL
CW-207A,8/28/2017,Chlorella_spp.,Green_Algae,199.54,Cells_per_mL,16399.25,um3_per_mL
CW-207A,8/28/2017,Scenedesmus_spp.,Green_Algae,1297.04,Cells_per_mL,32414.52,um3_per_mL
CW-207A,8/28/2017,Chroococcus_spp.,Blue-Green_Algae,24693.63,Cells_per_mL,185242.17,um3_per_mL
CW-207A,8/28/2017,Kirchneriella_spp.,Green_Algae,548.75,Cells_per_mL,4432.2,um3_per_mL
CW-207A,8/28/2017,Tetraedron_spp.,Green_Algae,99.77,Cells_per_mL,153.61,um3_per_mL
CW-207A,8/28/2017,Crucigeniella_spp.,Green_Algae,798.18,Cells_per_mL,7645.93,um3_per_mL
CW-207A,8/28/2017,Cylindrospermopsis_spp.,Blue-Green_Algae,9827.56,Cells_per_mL,331325.84,um3_per_mL
CW-207A,8/28/2017,Romeria_spp.,Blue-Green_Algae,498.86,Cells_per_mL,1534.53,um3_per_mL
CW-207A,8/28/2017,Pseudanabaena_spp.,Blue-Green_Algae,1696.13,Cells_per_mL,18502.22,um3_per_mL
CW-207A,8/28/2017,Dictyosphaerium_spp.,Green_Algae,199.54,Cells_per_mL,15117.32,um3_per_mL
CW-207A,8/28/2017,Oocystis_spp.,Green_Algae,199.54,Cells_per_mL,42395.09,um3_per_mL
CW-207A,8/28/2017,Dactylococcopsis_spp.,Blue-Green_Algae,3691.57,Cells_per_mL,25258.53,um3_per_mL
CL-089,8/29/2017,Pennate_Diatom_spp._Live,Diatom,383.52,Cells_per_mL,43826.46,um3_per_mL
CL-089,8/29/2017,Centric_Diatom_spp._Live,Diatom,355.11,Cells_per_mL,87418.3,um3_per_mL
CL-089,8/29/2017,Rhodomonas_spp.,Cryptophytes,28.41,Cells_per_mL,1595.27,um3_per_mL
CL-089,8/29/2017,Chlamydomonas_spp.,Green_Algae,14.2,Cells_per_mL,7012.24,um3_per_mL
CL-089,8/29/2017,Cosmarium_spp.,Green_Algae,14.2,Cells_per_mL,5992.24,um3_per_mL
CL-089,8/29/2017,Chlorella_spp.,Green_Algae,426.13,Cells_per_mL,14709.84,um3_per_mL
CL-089,8/29/2017,Pseudanabaena_spp.,Blue-green_Algae,2357.93,Cells_per_mL,21313.45,um3_per_mL
CL-089,8/29/2017,Scenedesmus_spp.,Green_Algae,624.99,Cells_per_mL,23707.28,um3_per_mL
CL-089,8/29/2017,Monoraphidium_spp.,Green_Algae,28.41,Cells_per_mL,420.64,um3_per_mL
CL-089,8/29/2017,Euastrum_spp.,Green_Algae,14.2,Cells_per_mL,33772.31,um3_per_mL
CL-089,8/29/2017,Merismopedia_spp.,Blue-Green_Algae,113.64,Cells_per_mL,116.03,um3_per_mL
CL-089,8/29/2017,Golenkinia_spp.,Green_Algae,99.43,Cells_per_mL,27143.63,um3_per_mL
CL-089,8/29/2017,Aphanocapsa_spp.,Blue-Green_Algae,4019.85,Cells_per_mL,2344.79,um3_per_mL
CL-089,8/29/2017,Coelastrum_spp.,Green_Algae,369.31,Cells_per_mL,21769.41,um3_per_mL
CL-089,8/29/2017,Chroococcus_spp.,Blue-Green_Algae,1079.53,Cells_per_mL,10965.1,um3_per_mL
CL-089,8/29/2017,Kirchneriella_spp.,Green_Algae,198.86,Cells_per_mL,2300.61,um3_per_mL
CL-089,8/29/2017,Tetraedron_spp.,Green_Algae,56.82,Cells_per_mL,103.66,um3_per_mL
CL-089,8/29/2017,Cylindrospermopsis_spp.,Blue-Green_Algae,2414.75,Cells_per_mL,81410.66,um3_per_mL
CL-089,8/29/2017,Anabaenopsis_spp.,Blue-Green_Algae,113.64,Cells_per_mL,3415.96,um3_per_mL
CL-089,8/29/2017,Leptolyngbya_spp.,Blue-Green_Algae,781.24,Cells_per_mL,6275.24,um3_per_mL
CL-089,8/29/2017,Dactylococcopsis_spp.,Blue-Green_Algae,1051.13,Cells_per_mL,7192.03,um3_per_mL
CW-057,8/30/2017,Aphanothece_clathrata,Blue-Green_Algae,267.38,Cells_per_mL,171.5,um3_per_mL
CW-057,8/30/2017,Pennate_Diatom_spp._Live,Diatom,227.27,Cells_per_mL,25971.23,um3_per_mL
CW-057,8/30/2017,Centric_Diatom_spp._Live,Diatom,962.56,Cells_per_mL,236955.01,um3_per_mL
CW-057,8/30/2017,Cryptomonas_spp.,Green_Algae,427.8,Cells_per_mL,82113.12,um3_per_mL
CW-057,8/30/2017,Rhodomonas_spp.,Cryptophytes,66.84,Cells_per_mL,3753.57,um3_per_mL
CW-057,8/30/2017,Euglena_spp.,Euglenoids,26.74,Cells_per_mL,18523.42,um3_per_mL
CW-057,8/30/2017,Chlamydomonas_spp.,Green_Algae,213.9,Cells_per_mL,105596.15,um3_per_mL
CW-057,8/30/2017,Chlorella_spp.,Green_Algae,561.49,Cells_per_mL,19382.37,um3_per_mL
CW-057,8/30/2017,Pseudanabaena_spp.,Blue-green_Algae,855.61,Cells_per_mL,7733.87,um3_per_mL
CW-057,8/30/2017,Scenedesmus_spp.,Green_Algae,534.75,Cells_per_mL,20284.31,um3_per_mL
CW-057,8/30/2017,Merismopedia_spp.,Blue-Green_Algae,20173.59,Cells_per_mL,20598.72,um3_per_mL
CW-057,8/30/2017,Aphanocapsa_spp.,Blue-Green_Algae,1082.88,Cells_per_mL,631.65,um3_per_mL
CW-057,8/30/2017,Treubaria_spp.,Green_Algae,13.37,Cells_per_mL,4819.11,um3_per_mL
CW-057,8/30/2017,Coelastrum_spp.,Green_Algae,213.9,Cells_per_mL,12608.53,um3_per_mL
CW-057,8/30/2017,Kirchneriella_spp.,Green_Algae,93.58,Cells_per_mL,1082.64,um3_per_mL
CW-057,8/30/2017,Tetraedron_spp.,Green_Algae,13.37,Cells_per_mL,24.39,um3_per_mL
CW-057,8/30/2017,Crucigeniella_spp.,Green_Algae,213.9,Cells_per_mL,1417.92,um3_per_mL
CW-057,8/30/2017,Cylindrospermopsis_spp.,Blue-Green_Algae,93.58,Cells_per_mL,3181.95,um3_per_mL
CW-057,8/30/2017,Dactylococcopsis_spp.,Blue-Green_Algae,40.11,Cells_per_mL,274.42,um3_per_mL
CW-16F,8/30/2017,Pennate_Diatom_spp._Live,Diatom,42.46,Cells_per_mL,5174.25,um3_per_mL
CW-16F,8/30/2017,Centric_Diatom_spp._Live,Diatom,169.83,Cells_per_mL,63826.26,um3_per_mL
CW-16F,8/30/2017,Rhodomonas_spp.,Cryptophytes,689.91,Cells_per_mL,38741.4,um3_per_mL
CW-16F,8/30/2017,Euglena_spp.,Euglenoids,10.61,Cells_per_mL,7353.24,um3_per_mL
CW-16F,8/30/2017,Trachelomonas_sp.,Euglenoids,31.84,Cells_per_mL,30462.19,um3_per_mL
CW-16F,8/30/2017,Aphanocapsa_spp.,Blue-Green_Algae,408.64,Cells_per_mL,693.46,um3_per_mL
CW-16F,8/30/2017,Chlamydomonas_spp.,Green_Algae,143.29,Cells_per_mL,67151.56,um3_per_mL
CW-16F,8/30/2017,Chlorella_spp.,Green_Algae,122.06,Cells_per_mL,10031.46,um3_per_mL
CW-16F,8/30/2017,Scenedesmus_spp.,Green_Algae,403.33,Cells_per_mL,10079.8,um3_per_mL
CW-16F,8/30/2017,Monoraphidium_spp.,Green_Algae,5.31,Cells_per_mL,111.05,um3_per_mL
CW-16F,8/30/2017,Merismopedia_spp.,Blue-Green_Algae,10.61,Cells_per_mL,7.54,um3_per_mL
CW-16F,8/30/2017,Chroococcus_spp.,Blue-Green_Algae,339.65,Cells_per_mL,2547.93,um3_per_mL
CW-16F,8/30/2017,Kirchneriella_spp.,Green_Algae,100.83,Cells_per_mL,814.43,um3_per_mL
CW-16F,8/30/2017,Tetraedron_spp.,Green_Algae,5.31,Cells_per_mL,8.17,um3_per_mL
CW-16F,8/30/2017,Crucigeniella_spp.,Green_Algae,90.22,Cells_per_mL,914.94,um3_per_mL
CW-16F,8/30/2017,Pediastrum_spp.,Green_Algae,42.46,Cells_per_mL,995.94,um3_per_mL
CW-16F,8/30/2017,Binuclearia_spp.,Green_Algae,10.61,Cells_per_mL,990.59,um3_per_mL
CW-16F,8/30/2017,Dictyosphaerium_spp.,Green_Algae,21.23,Cells_per_mL,1608.23,um3_per_mL
CW-16F,8/30/2017,Dactylococcopsis_spp.,Blue-Green_Algae,15.92,Cells_per_mL,108.94,um3_per_mL
CW-057,9/25/2017,Pennate_Diatom_spp._Live,Diatom,545.45,Cells_per_mL,62330.96,um3_per_mL
CW-057,9/25/2017,Centric_Diatom_spp._Live,Diatom,1568.17,Cells_per_mL,386039.21,um3_per_mL
CW-057,9/25/2017,Phormidium_sp.,Blue-Green_Algae,704.54,Cells_per_mL,32681.9,um3_per_mL
CW-057,9/25/2017,Chlamydomonas_spp.,Green_Algae,272.72,Cells_per_mL,134635.09,um3_per_mL
CW-057,9/25/2017,Chlorella_spp.,Green_Algae,1068.17,Cells_per_mL,36872.65,um3_per_mL
CW-057,9/25/2017,Pseudanabaena_spp.,Blue-green_Algae,159.09,Cells_per_mL,1438.02,um3_per_mL
CW-057,9/25/2017,Scenedesmus_spp.,Green_Algae,2090.89,Cells_per_mL,79311.63,um3_per_mL
CW-057,9/25/2017,Merismopedia_spp.,Blue-Green_Algae,84726.41,Cells_per_mL,86511.88,um3_per_mL
CW-057,9/25/2017,Aphanocapsa_spp.,Blue-Green_Algae,840.9,Cells_per_mL,490.5,um3_per_mL
CW-057,9/25/2017,Chroococcus_spp.,Blue-Green_Algae,863.63,Cells_per_mL,8772.08,um3_per_mL
CW-057,9/25/2017,Kirchneriella_spp.,Green_Algae,613.63,Cells_per_mL,7099.02,um3_per_mL
CW-057,9/25/2017,Crucigeniella_spp.,Green_Algae,363.63,Cells_per_mL,2410.46,um3_per_mL
CW-057,9/25/2017,Cylindrospermopsis_spp.,Blue-Green_Algae,90.91,Cells_per_mL,3091.04,um3_per_mL
CW-057,9/25/2017,Dactylococcopsis_spp.,Blue-Green_Algae,477.27,Cells_per_mL,3265.57,um3_per_mL
CL-089,9/26/2017,Pennate_Diatom_spp._Live,Diatom,187.07,Cells_per_mL,21377.68,um3_per_mL
CL-089,9/26/2017,Centric_Diatom_spp._Live,Diatom,124.72,Cells_per_mL,30701.47,um3_per_mL
CL-089,9/26/2017,Cryptomonas_spp.,Green_Algae,1621.3,Cells_per_mL,311194.29,um3_per_mL
CL-089,9/26/2017,Chlamydomonas_spp.,Green_Algae,62.36,Cells_per_mL,30783.91,um3_per_mL
CL-089,9/26/2017,Scenedesmus_spp.,Green_Algae,249.43,Cells_per_mL,9461.41,um3_per_mL
CL-089,9/26/2017,Chroococcus_spp.,Blue-Green_Algae,8106.49,Cells_per_mL,82339.65,um3_per_mL
CL-089,9/26/2017,Kirchneriella_spp.,Green_Algae,498.86,Cells_per_mL,5771.27,um3_per_mL
CL-089,9/26/2017,Pediastrum_spp.,Green_Algae,249.43,Cells_per_mL,5851.13,um3_per_mL
CL-089,9/26/2017,Cylindrospermopsis_spp.,Blue-Green_Algae,7794.71,Cells_per_mL,262790.17,um3_per_mL
CL-089,9/26/2017,Pseudanabaena_spp.,Blue-Green_Algae,2743.74,Cells_per_mL,24800.77,um3_per_mL
CL-089,9/26/2017,Dactylococcopsis_spp.,Blue-Green_Algae,10600.8,Cells_per_mL,72532.94,um3_per_mL
CW-207A,9/26/2017,Pennate_Diatom_spp._Live,Diatom,151.51,Cells_per_mL,18465.34,um3_per_mL
CW-207A,9/26/2017,Centric_Diatom_spp._Live,Diatom,151.51,Cells_per_mL,56944.17,um3_per_mL
CW-207A,9/26/2017,Chlamydomonas_spp.,Green_Algae,151.51,Cells_per_mL,71005.53,um3_per_mL
CW-207A,9/26/2017,Chlorella_spp.,Green_Algae,1136.35,Cells_per_mL,93389.33,um3_per_mL
CW-207A,9/26/2017,Pseudanabaena_spp.,Blue-green_Algae,2499.97,Cells_per_mL,27270.99,um3_per_mL
CW-207A,9/26/2017,Scenedesmus_spp.,Green_Algae,606.05,Cells_per_mL,15146.01,um3_per_mL
CW-207A,9/26/2017,Merismopedia_spp.,Blue-Green_Algae,4848.44,Cells_per_mL,3446.42,um3_per_mL
CW-207A,9/26/2017,Aphanocapsa_spp.,Blue-Green_Algae,4696.92,Cells_per_mL,7970.66,um3_per_mL
CW-207A,9/26/2017,Chroococcus_spp.,Blue-Green_Algae,6287.81,Cells_per_mL,47168.79,um3_per_mL
CW-207A,9/26/2017,Kirchneriella_spp.,Green_Algae,681.81,Cells_per_mL,5506.95,um3_per_mL
CW-207A,9/26/2017,Tetraedron_spp.,Green_Algae,75.76,Cells_per_mL,116.64,um3_per_mL
CW-207A,9/26/2017,Cylindrospermopsis_spp.,Blue-Green_Algae,5833.27,Cells_per_mL,196662.6,um3_per_mL
CW-207A,9/26/2017,Dactylococcopsis_spp.,Blue-Green_Algae,35757.21,Cells_per_mL,244658.52,um3_per_mL
CW-16F,9/27/2017,Pennate_Diatom_spp._Live,Diatom,3.44,Cells_per_mL,419.67,um3_per_mL
CW-16F,9/27/2017,Centric_Diatom_spp._Live,Diatom,3.87,Cells_per_mL,1455.96,um3_per_mL
CW-16F,9/27/2017,Rhodomonas_spp.,Cryptophytes,0.43,Cells_per_mL,24.17,um3_per_mL
CW-16F,9/27/2017,Chlamydomonas_spp.,Green_Algae,12.48,Cells_per_mL,5849.89,um3_per_mL
