StationID,ActivityStartDate,ActivityStartTime/Time,NitrateNitrite_units,NitrateNitrite,Depth_m,Source
CW-176,9/28/1999,10:50:00 AM,mg/L,0.41,0.3,DHEC
CW-155,12/1/1999,1:40:00 PM,mg/L,0.08,0.3,DHEC
CW-016,6/2/1999,2:35:00 PM,mg/L,0.47,0.3,DHEC
CW-155,2/1/1999,1:30:00 PM,mg/L,0.18,0.3,DHEC
CW-041,1/7/1999,12:53:00 PM,mg/L,0.48,0.3,DHEC
CW-017,8/3/1999,10:15:00 AM,mg/L,0.03,0.3,DHEC
CW-080,9/2/1999,12:30:00 PM,mg/L,0.09,0.3,DHEC
CW-229,2/11/1999,9:25:00 AM,mg/L,0.03,0.3,DHEC
CW-064,5/10/1999,11:15:00 AM,mg/L,5.3,0.3,DHEC
CW-029,12/9/1999,2:10:00 PM,mg/L,0.08,0.3,DHEC
CW-155,6/14/1999,2:45:00 PM,mg/L,0.22,0.3,DHEC
CW-222,12/29/1999,10:25:00 AM,mg/L,0.36,0.3,DHEC
CW-208,12/28/1999,11:48:00 AM,mg/L,0.59,0.3,DHEC
CW-041,6/24/1999,10:15:00 AM,mg/L,0.62,0.3,DHEC
CW-057,5/20/1999,1:15:00 PM,mg/L,0.75,0.3,DHEC
CW-208,3/4/1999,10:55:00 AM,mg/L,0.54,0.3,DHEC
CW-013,6/22/1999,10:30:00 AM,mg/L,4.3,0.3,DHEC
CW-002,1/25/1999,10:50:00 AM,mg/L,0.06,0.3,DHEC
CW-131,10/28/1999,2:25:00 PM,mg/L,0.22,0.3,DHEC
CW-041,9/1/1999,1:30:00 PM,mg/L,0.81,0.3,DHEC
CW-209,2/11/1999,11:15:00 AM,mg/L,0.37,0.3,DHEC
CW-131,8/19/1999,11:20:00 AM,mg/L,0.07,0.3,DHEC
CW-029,5/27/1999,1:05:00 PM,mg/L,0.24,0.3,DHEC
CW-206,6/10/1999,9:55:00 AM,mg/L,0.26,0.3,DHEC
CW-029,9/29/1999,1:10:00 PM,mg/L,0.04,0.3,DHEC
CW-011,9/29/1999,10:35:00 AM,mg/L,0.15,0.3,DHEC
CW-083,10/28/1999,10:30:00 AM,mg/L,0.46,0.3,DHEC
CW-016,1/7/1999,2:13:00 PM,mg/L,0.5,0.3,DHEC
CW-174,9/23/1999,10:15:00 AM,mg/L,0.52,0.3,DHEC
CW-019,7/26/1999,11:45:00 AM,mg/L,0.17,0.3,DHEC
CW-080,5/19/1999,12:10:00 PM,mg/L,0.1,0.3,DHEC
CW-008,9/8/1999,10:05:00 AM,mg/L,0.77,0.3,DHEC
CW-019,10/6/1999,2:20:00 PM,mg/L,0.06,0.3,DHEC
CW-047,10/28/1999,1:55:00 PM,mg/L,0.07,0.3,DHEC
CW-016,7/1/1999,2:50:00 PM,mg/L,0.38,0.3,DHEC
CW-083,9/23/1999,2:00:00 PM,mg/L,0.1,0.3,DHEC
CW-016F,6/2/1999,2:25:00 PM,mg/L,0.07,0.3,DHEC
CW-016,2/4/1999,2:38:00 PM,mg/L,0.49,0.3,DHEC
CW-008,12/9/1999,10:15:00 AM,mg/L,0.34,0.3,DHEC
CW-176,12/28/1999,10:45:00 AM,mg/L,0.17,0.3,DHEC
CW-080,6/2/1999,9:30:00 AM,mg/L,0.12,0.3,DHEC
CW-016,9/1/1999,3:15:00 PM,mg/L,0.67,0.3,DHEC
CW-017,5/10/1999,2:45:00 PM,mg/L,0.17,0.3,DHEC
CW-207,12/28/1999,11:27:00 AM,mg/L,0.6,0.3,DHEC
CW-175,5/3/1999,1:25:00 PM,mg/L,0.19,0.3,DHEC
CW-064,6/9/1999,1:10:00 PM,mg/L,4.8,0.3,DHEC
CW-151,5/10/1999,2:05:00 PM,mg/L,0.05,0.3,DHEC
CW-208,5/6/1999,12:30:00 PM,mg/L,0.75,0.3,DHEC
CW-041,2/4/1999,1:10:00 PM,mg/L,0.34,0.3,DHEC
CW-013,4/22/1999,11:00:00 AM,mg/L,8,0.3,DHEC
CW-185,8/19/1999,1:15:00 PM,mg/L,0.02,0.3,DHEC
CW-175,9/23/1999,10:15:00 AM,mg/L,0.59,0.3,DHEC
CW-008,2/16/1999,10:00:00 AM,mg/L,0.27,0.3,DHEC
CW-131,9/27/1999,2:10:00 PM,mg/L,0.22,0.3,DHEC
CW-174,6/15/1999,1:20:00 PM,mg/L,0.39,0.3,DHEC
CW-047,5/10/1999,1:10:00 PM,mg/L,0.2,0.3,DHEC
CW-212,8/16/1999,12:25:00 PM,mg/L,0.81,0.3,DHEC
CW-154,7/26/1999,12:50:00 PM,mg/L,0.1,0.3,DHEC
CW-041,12/29/1999,12:30:00 PM,mg/L,1,0.3,DHEC
CW-212,7/15/1999,1:45:00 PM,mg/L,0.23,0.3,DHEC
CW-206,3/25/1999,9:30:00 AM,mg/L,0.39,0.3,DHEC
CW-185,6/9/1999,12:20:00 PM,mg/L,0.15,0.3,DHEC
CW-096,9/28/1999,1:15:00 PM,mg/L,0.13,0.3,DHEC
CW-185,7/20/1999,11:30:00 AM,mg/L,0.04,0.3,DHEC
CW-175,8/12/1999,10:05:00 AM,mg/L,0.38,0.3,DHEC
CW-009,5/27/1999,10:55:00 AM,mg/L,0.37,0.3,DHEC
CW-155,5/4/1999,1:25:00 PM,mg/L,0.13,0.3,DHEC
CW-155,8/24/1999,11:30:00 AM,mg/L,0.38,0.3,DHEC
CW-064,10/28/1999,12:20:00 PM,mg/L,6.6,0.3,DHEC
CW-224,5/12/1999,1:20:00 PM,mg/L,0.79,0.3,DHEC
CW-041,11/4/1999,12:45:00 PM,mg/L,0.62,0.3,DHEC
CW-040,6/8/1999,9:20:00 AM,mg/L,0.08,0.3,DHEC
CW-040,8/30/1999,9:20:00 AM,mg/L,0.02,0.3,DHEC
CW-206,5/13/1999,9:45:00 AM,mg/L,0.26,0.3,DHEC
CW-009,6/22/1999,11:15:00 AM,mg/L,0.15,0.3,DHEC
CW-206,4/8/1999,9:30:00 AM,mg/L,0.38,0.3,DHEC
CW-224,7/22/1999,10:50:00 AM,mg/L,1.78,0.3,DHEC
CW-019,8/24/1999,11:55:00 AM,mg/L,0.21,0.3,DHEC
CW-057,9/1/1999,2:30:00 PM,mg/L,0.53,0.3,DHEC
CW-016,8/3/1999,11:15:00 AM,mg/L,1.01,0.3,DHEC
CW-083,5/10/1999,10:23:00 AM,mg/L,0.39,0.3,DHEC
CW-155,3/16/1999,12:50:00 PM,mg/L,0.11,0.3,DHEC
CW-047,9/27/1999,2:20:00 PM,mg/L,0.14,0.3,DHEC
CW-016,4/5/1999,3:00:00 PM,mg/L,0.61,0.3,DHEC
CW-207,5/6/1999,11:50:00 AM,mg/L,0.35,0.3,DHEC
CW-222,3/25/1999,10:15:00 AM,mg/L,0.46,0.3,DHEC
CW-014,5/3/1999,10:20:00 AM,mg/L,0.28,0.3,DHEC
CW-019,6/14/1999,2:15:00 PM,mg/L,0.23,0.3,DHEC
CW-155,11/2/1999,1:55:00 PM,mg/L,0.06,0.3,DHEC
CW-064,8/19/1999,10:30:00 AM,mg/L,8.2,0.3,DHEC
CW-002,9/8/1999,10:45:00 AM,mg/L,3,0.3,DHEC
CW-016F,10/27/1999,2:15:00 PM,mg/L,0.68,0.3,DHEC
CW-176,3/25/1999,10:30:00 AM,mg/L,0.47,0.3,DHEC
CW-005,8/18/1999,1:30:00 PM,mg/L,9.1,0.3,DHEC
CW-227,10/18/1999,11:45:00 AM,mg/L,0.05,0.3,DHEC
CW-047,6/9/1999,10:40:00 AM,mg/L,0.05,0.3,DHEC
CW-175,7/14/1999,2:15:00 PM,mg/L,0.34,0.3,DHEC
CW-209,10/21/1999,11:03:00 AM,mg/L,0.15,0.3,DHEC
CW-176,8/17/1999,10:00:00 AM,mg/L,0.06,0.3,DHEC
CW-207,4/29/1999,11:30:00 AM,mg/L,0.22,0.3,DHEC
CW-209,3/4/1999,10:10:00 AM,mg/L,0.49,0.3,DHEC
CW-207,3/4/1999,10:35:00 AM,mg/L,0.57,0.3,DHEC
CW-014,12/28/1999,12:30:00 PM,mg/L,0.22,0.3,DHEC
CW-002,4/8/1999,10:10:00 AM,mg/L,0.07,0.3,DHEC
CW-016,5/20/1999,1:45:00 PM,mg/L,0.92,0.3,DHEC
CW-088,8/12/1999,11:55:00 AM,mg/L,1.85,0.3,DHEC
CW-017,9/23/1999,9:45:00 AM,mg/L,0.1,0.3,DHEC
CW-057,7/1/1999,2:15:00 PM,mg/L,0.55,0.3,DHEC
CW-013,5/27/1999,10:15:00 AM,mg/L,4.2,0.3,DHEC
CW-016,11/4/1999,2:20:00 PM,mg/L,1.22,0.3,DHEC
CW-096,6/21/1999,1:50:00 PM,mg/L,0.26,0.3,DHEC
CW-005,10/21/1999,2:30:00 PM,mg/L,1.66,0.3,DHEC
CW-208,10/21/1999,11:55:00 AM,mg/L,0.32,0.3,DHEC
CW-036,6/9/1999,1:40:00 PM,mg/L,4.2,0.3,DHEC
CW-013,11/23/1999,10:35:00 AM,mg/L,4.9,0.3,DHEC
CW-041,3/18/1999,1:40:00 PM,mg/L,1.16,0.3,DHEC
CW-016F,7/1/1999,2:35:00 PM,mg/L,0.47,0.3,DHEC
CW-225,8/17/1999,11:25:00 AM,mg/L,4.4,0.3,DHEC
CW-057,12/29/1999,1:25:00 PM,mg/L,0.8,0.3,DHEC
CW-096,5/13/1999,1:00:00 PM,mg/L,0.3,0.3,DHEC
CW-206,1/14/1999,11:45:00 AM,mg/L,0.6,0.3,DHEC
CW-083,6/9/1999,2:20:00 PM,mg/L,0.22,0.3,DHEC
CW-088,6/10/1999,11:00:00 AM,mg/L,1.44,0.3,DHEC
CW-176,2/18/1999,10:50:00 AM,mg/L,0.12,0.3,DHEC
CW-174,5/3/1999,1:15:00 PM,mg/L,0.82,0.3,DHEC
CW-008,4/8/1999,9:45:00 AM,mg/L,0.08,0.3,DHEC
CW-011,7/15/1999,11:15:00 AM,mg/L,0.2,0.3,DHEC
CW-016,3/18/1999,3:40:00 PM,mg/L,0.59,0.3,DHEC
CW-005,12/9/1999,11:25:00 AM,mg/L,1.4,0.3,DHEC
CW-225,9/28/1999,1:00:00 PM,mg/L,1.82,0.3,DHEC
CW-222,6/10/1999,10:55:00 AM,mg/L,0.36,0.3,DHEC
CW-083,8/19/1999,10:00:00 AM,mg/L,0.05,0.3,DHEC
CW-224,6/21/1999,2:15:00 PM,mg/L,1.5,0.3,DHEC
CW-005,6/24/1999,11:15:00 AM,mg/L,1.32,0.3,DHEC
CW-005,3/22/1999,11:10:00 AM,mg/L,0.14,0.3,DHEC
CW-036,7/20/1999,10:50:00 AM,mg/L,2.8,0.3,DHEC
CW-176,5/12/1999,10:05:00 AM,mg/L,1.26,0.3,DHEC
CW-029,2/16/1999,11:25:00 AM,mg/L,0.2,0.3,DHEC
CW-212,9/29/1999,2:30:00 PM,mg/L,0.06,0.3,DHEC
CW-096,10/20/1999,11:20:00 AM,mg/L,0.2,0.3,DHEC
CW-011,6/22/1999,10:50:00 AM,mg/L,0.19,0.3,DHEC
CW-011,8/16/1999,10:45:00 AM,mg/L,0.08,0.3,DHEC
CW-155,4/26/1999,1:05:00 PM,mg/L,0.18,0.3,DHEC
CW-080,7/8/1999,8:40:00 AM,mg/L,0.03,0.3,DHEC
CW-212,10/19/1999,10:10:00 AM,mg/L,0.27,0.3,DHEC
CW-002,6/10/1999,10:25:00 AM,mg/L,0.69,0.3,DHEC
CW-016F,2/4/1999,2:22:00 PM,mg/L,0.44,0.3,DHEC
CW-017,6/9/1999,10:05:00 AM,mg/L,0.06,0.3,DHEC
CW-008,1/25/1999,10:25:00 AM,mg/L,0.1,0.3,DHEC
CW-222,9/9/1999,10:30:00 AM,mg/L,0.27,0.3,DHEC
CW-005,11/22/1999,2:45:00 PM,mg/L,2.9,0.3,DHEC
CW-176,6/21/1999,10:45:00 AM,mg/L,1.17,0.3,DHEC
CW-016F,12/29/1999,1:40:00 PM,mg/L,0.87,0.3,DHEC
CW-206,8/5/1999,9:15:00 AM,mg/L,0.21,0.3,DHEC
CW-175,5/25/2000,10:15:00 AM,mg/L,0.1,0.3,DHEC
CW-176,7/27/2000,1:40:00 PM,mg/L,0.29,0.3,DHEC
CW-002,6/21/2000,10:35:00 AM,mg/L,12.3,0.3,DHEC
CW-212,6/29/2000,10:20:00 AM,mg/L,0.42,0.3,DHEC
CW-222,4/20/2000,10:20:00 AM,mg/L,0.39,0.3,DHEC
CW-206,1/20/2000,9:20:00 AM,mg/L,0.45,0.3,DHEC
CW-016,7/20/2000,1:40:00 PM,mg/L,0.64,0.3,DHEC
CW-096,7/27/2000,10:20:00 AM,mg/L,0.22,0.3,DHEC
CW-227,8/1/2000,2:05:00 PM,mg/L,0.09,0.3,DHEC
CW-223,5/17/2000,11:20:00 AM,mg/L,0.16,0.3,DHEC
CW-225,9/12/2000,11:00:00 AM,mg/L,3.7,0.3,DHEC
CW-017,9/6/2000,9:45:00 AM,mg/L,0.06,0.3,DHEC
CW-155,3/20/2000,11:35:00 AM,mg/L,0.08,0.3,DHEC
CW-208,11/8/2000,11:00:00 AM,mg/L,0.14,0.3,DHEC
CW-229,6/7/2000,9:20:00 AM,mg/L,0.03,0.3,DHEC
CW-224,5/16/2000,10:15:00 AM,mg/L,1.8,0.3,DHEC
CW-014,6/5/2000,1:20:00 PM,mg/L,0.2,0.3,DHEC
CW-206,4/20/2000,9:30:00 AM,mg/L,0.37,0.3,DHEC
CW-017,5/8/2000,2:35:00 PM,mg/L,0.13,0.3,DHEC
CW-005,10/26/2000,10:50:00 AM,mg/L,4.2,0.3,DHEC
CW-016F,4/27/2000,2:30:00 PM,mg/L,0.46,0.3,DHEC
CW-222,9/7/2000,10:15:00 AM,mg/L,0.28,0.3,DHEC
CW-228,8/3/2000,9:55:00 AM,mg/L,0.08,0.3,DHEC
CW-041,8/17/2000,12:30:00 PM,mg/L,0.9,0.3,DHEC
CW-002,3/2/2000,11:00:00 AM,mg/L,1.67,0.3,DHEC
CW-151,9/6/2000,11:00:00 AM,mg/L,0.03,0.3,DHEC
CW-016,11/30/2000,12:30:00 PM,mg/L,0.68,0.3,DHEC
CW-036,8/16/2000,10:50:00 AM,mg/L,8.8,0.3,DHEC
CW-222,1/20/2000,10:05:00 AM,mg/L,0.55,0.3,DHEC
CW-006,5/16/2000,11:25:00 AM,mg/L,0.67,0.3,DHEC
