StationID,ActivityStartDate,ActivityStartTime/Time,Ammonia_units,Ammonia,depth_m,source
CW-185,10/16/2002,12:45:00 PM,mg/L,0.11,0.3,DHEC
CW-151,4/29/2002,12:00:00 AM,mg/L,0.7,0.3,DHEC
CW-154,9/26/2002,1:05:00 PM,mg/L,0.05,0.3,DHEC
CL-078,1/17/2002,2:20:00 PM,mg/L,0.056,0.3,DHEC
CW-016,2/28/2002,11:10:00 AM,mg/L,0.058,0.3,DHEC
CW-212,1/23/2002,11:40:00 AM,mg/L,0.35,0.3,DHEC
CW-006,8/7/2002,11:45:00 AM,mg/L,0.064,0.3,DHEC
CW-238,8/13/2002,11:15:00 AM,mg/L,0.62,0.3,DHEC
CW-041,5/23/2002,2:05:00 PM,mg/L,0.073,0.3,DHEC
CW-017,8/20/2002,10:05:00 AM,mg/L,0.1,0.3,DHEC
CW-014,1/16/2002,1:45:00 PM,mg/L,0.073,0.3,DHEC
CW-036,4/30/2002,10:50:00 AM,mg/L,0.12,0.3,DHEC
RL-02319,6/13/2002,2:00:00 PM,mg/L,0.1,0.3,DHEC
CW-131,1/22/2002,10:30:00 AM,mg/L,0.12,0.3,DHEC
CW-047,4/29/2002,12:00:00 AM,mg/L,0.16,0.3,DHEC
CW-013,2/20/2002,10:40:00 AM,mg/L,0.37,0.3,DHEC
CW-151,10/16/2002,11:20:00 AM,mg/L,0.36,0.3,DHEC
RL-02452,12/17/2002,1:05:00 PM,mg/L,0.11,0.3,DHEC
CW-237,10/16/2002,12:00:00 PM,mg/L,0.67,0.3,DHEC
CW-231,4/25/2002,12:45:00 PM,mg/L,0.12,0.3,DHEC
CW-207,9/4/2002,10:50:00 AM,mg/L,0.11,0.3,DHEC
CW-016,6/13/2002,10:50:00 AM,mg/L,0.083,0.3,DHEC
CW-013,6/26/2002,2:10:00 PM,mg/L,0.077,0.3,DHEC
CW-021,4/25/2002,9:45:00 AM,mg/L,0.1,0.3,DHEC
CW-225,12/11/2002,11:15:00 AM,mg/L,0.066,0.3,DHEC
CW-096,10/23/2002,10:05:00 AM,mg/L,0.13,0.3,DHEC
CW-016,1/31/2002,10:50:00 AM,mg/L,0.15,0.3,DHEC
CW-145,6/25/2002,2:20:00 PM,mg/L,0.09,0.3,DHEC
CW-017,1/22/2002,10:10:00 AM,mg/L,0.15,0.3,DHEC
CL-089,5/2/2002,12:15:00 PM,mg/L,0.084,0.3,DHEC
CW-021,10/1/2002,9:20:00 AM,mg/L,0.062,0.3,DHEC
RL-02314,9/4/2002,10:35:00 AM,mg/L,0.12,0.3,DHEC
CW-151,12/10/2002,11:55:00 AM,mg/L,0.097,0.3,DHEC
RL-02314,1/10/2002,10:55:00 AM,mg/L,0.058,0.3,DHEC
CW-064,8/21/2002,11:45:00 AM,mg/L,0.086,0.3,DHEC
CW-008,2/13/2002,2:00:00 PM,mg/L,0.075,0.3,DHEC
CW-238,2/19/2002,10:30:00 AM,mg/L,0.45,0.3,DHEC
CW-203,6/26/2002,1:35:00 PM,mg/L,0.12,0.3,DHEC
CW-224,8/7/2002,11:00:00 AM,mg/L,0.08,0.3,DHEC
RS-02321,10/24/2002,10:20:00 AM,mg/L,0.086,0.3,DHEC
CW-036,8/21/2002,11:05:00 AM,mg/L,0.066,0.3,DHEC
CW-235,3/13/2002,10:00:00 AM,mg/L,0.051,0.3,DHEC
CW-017,12/10/2002,10:30:00 AM,mg/L,0.061,0.3,DHEC
CW-131,8/20/2002,10:35:00 AM,mg/L,0.15,0.3,DHEC
CW-096,12/11/2002,11:05:00 AM,mg/L,0.25,0.3,DHEC
CW-005,1/23/2002,11:20:00 AM,mg/L,0.062,0.3,DHEC
CW-017,6/25/2002,10:40:00 AM,mg/L,0.24,0.3,DHEC
CW-013,1/16/2002,1:20:00 PM,mg/L,0.2,0.3,DHEC
CW-088,8/28/2002,10:10:00 AM,mg/L,0.051,0.3,DHEC
CW-013,8/21/2002,11:30:00 AM,mg/L,0.076,0.3,DHEC
CW-234,1/8/2002,1:00:00 PM,mg/L,0.17,0.3,DHEC
CW-057,8/22/2002,11:50:00 AM,mg/L,0.063,0.3,DHEC
CW-175,11/12/2002,10:55:00 AM,mg/L,0.052,0.3,DHEC
CW-083,1/22/2002,2:25:00 PM,mg/L,0.17,0.3,DHEC
CW-231,2/28/2002,12:35:00 PM,mg/L,0.062,0.3,DHEC
CW-233,7/2/2002,11:40:00 AM,mg/L,0.082,0.3,DHEC
CW-083,8/20/2002,1:25:00 PM,mg/L,0.091,0.3,DHEC
CW-203,4/30/2002,1:00:00 PM,mg/L,0.079,0.3,DHEC
CW-096,8/7/2002,11:15:00 AM,mg/L,0.068,0.3,DHEC
CW-013,4/30/2002,1:25:00 PM,mg/L,0.069,0.3,DHEC
CW-033,2/28/2002,12:50:00 PM,mg/L,0.065,0.3,DHEC
CW-155,7/22/2002,1:20:00 PM,mg/L,0.091,0.3,DHEC
CW-002,1/8/2002,1:50:00 PM,mg/L,0.085,0.3,DHEC
CW-080,10/16/2002,12:25:00 PM,mg/L,0.069,0.3,DHEC
CW-019,11/18/2002,2:15:00 PM,mg/L,0.09,0.3,DHEC
CW-002,5/1/2002,1:30:00 PM,mg/L,0.05,0.3,DHEC
CW-083,6/25/2002,2:00:00 PM,mg/L,0.051,0.3,DHEC
CW-225,1/23/2002,10:45:00 AM,mg/L,0.1,0.3,DHEC
CW-009,8/21/2002,1:00:00 PM,mg/L,0.098,0.3,DHEC
CW-231,6/13/2002,12:55:00 PM,mg/L,0.05,0.3,DHEC
CW-233,1/8/2002,12:45:00 PM,mg/L,0.085,0.3,DHEC
CW-233,11/12/2002,11:25:00 AM,mg/L,0.21,0.3,DHEC
CW-036,1/16/2002,10:15:00 AM,mg/L,0.16,0.3,DHEC
CW-017,10/16/2002,10:10:00 AM,mg/L,0.21,0.3,DHEC
RL-02319,12/17/2002,1:15:00 PM,mg/L,0.11,0.3,DHEC
RL-02314,3/14/2002,11:40:00 AM,mg/L,0.12,0.3,DHEC
CW-237,8/13/2002,10:15:00 AM,mg/L,0.076,0.3,DHEC
CW-057,12/17/2002,11:35:00 AM,mg/L,0.12,0.3,DHEC
CW-145,8/20/2002,1:45:00 PM,mg/L,0.12,0.3,DHEC
CW-041,9/30/2002,11:20:00 AM,mg/L,0.11,0.3,DHEC
CW-005,6/5/2002,12:35:00 PM,mg/L,0.11,0.3,DHEC
CW-009,1/16/2002,11:45:00 AM,mg/L,0.07,0.3,DHEC
CW-131,10/16/2002,10:30:00 AM,mg/L,0.083,0.3,DHEC
CW-225,10/23/2002,10:15:00 AM,mg/L,0.093,0.3,DHEC
CW-014,6/26/2002,2:30:00 PM,mg/L,0.13,0.3,DHEC
CW-064,1/16/2002,10:35:00 AM,mg/L,0.26,0.3,DHEC
CW-174,9/3/2002,10:05:00 AM,mg/L,0.15,0.3,DHEC
CW-083,10/16/2002,2:00:00 PM,mg/L,0.25,0.3,DHEC
CW-155,11/18/2002,1:55:00 PM,mg/L,0.08,0.3,DHEC
CW-131,12/10/2002,11:00:00 AM,mg/L,0.14,0.3,DHEC
CW-005,12/11/2002,12:40:00 PM,mg/L,0.19,0.3,DHEC
CW-033,12/17/2002,12:40:00 PM,mg/L,0.1,0.3,DHEC
CW-047,1/22/2002,10:40:00 AM,mg/L,0.11,0.3,DHEC
CW-231,10/31/2002,12:10:00 PM,mg/L,0.3,0.3,DHEC
CW-174,3/13/2002,11:00:00 AM,mg/L,0.14,0.3,DHEC
CW-227,10/16/2002,2:45:00 PM,mg/L,0.2,0.3,DHEC
CW-131,4/29/2002,12:00:00 AM,mg/L,0.15,0.3,DHEC
CW-064,2/20/2002,11:05:00 AM,mg/L,0.37,0.3,DHEC
CW-016F,10/31/2002,10:50:00 AM,mg/L,0.4,0.3,DHEC
CW-019,5/22/2002,2:35:00 PM,mg/L,0.063,0.3,DHEC
CW-250,10/15/2002,8:15:00 AM,mg/L,0.2,0.3,DHEC
RL-02319,4/25/2002,1:35:00 PM,mg/L,0.12,0.3,DHEC
CW-057,1/31/2002,11:20:00 AM,mg/L,0.13,0.3,DHEC
CW-228,4/30/2002,12:00:00 PM,mg/L,0.16,0.3,DHEC
CW-222,3/28/2002,10:45:00 AM,mg/L,0.075,0.3,DHEC
CW-072,10/24/2002,9:35:00 AM,mg/L,0.15,0.3,DHEC
CW-222,1/31/2002,10:45:00 AM,mg/L,0.095,0.3,DHEC
CW-207,1/10/2002,10:40:00 AM,mg/L,0.066,0.3,DHEC
CW-176,10/16/2002,1:15:00 PM,mg/L,0.13,0.3,DHEC
CW-250,9/18/2002,8:20:00 AM,mg/L,0.052,0.3,DHEC
CW-176,1/22/2002,12:15:00 PM,mg/L,0.1,0.3,DHEC
CW-145,1/22/2002,2:45:00 PM,mg/L,0.1,0.3,DHEC
CW-225,8/7/2002,11:30:00 AM,mg/L,0.22,0.3,DHEC
CW-224,12/11/2002,10:50:00 AM,mg/L,0.078,0.3,DHEC
CW-008,1/9/2002,10:30:00 AM,mg/L,0.089,0.3,DHEC
CW-016,10/31/2002,10:35:00 AM,mg/L,0.26,0.3,DHEC
CW-047,10/16/2002,10:45:00 AM,mg/L,0.12,0.3,DHEC
CW-096,2/25/2002,10:20:00 AM,mg/L,0.097,0.3,DHEC
CW-011,1/16/2002,1:10:00 PM,mg/L,0.062,0.3,DHEC
CW-019,3/25/2002,2:45:00 PM,mg/L,0.12,0.3,DHEC
CW-021,12/5/2002,12:50:00 PM,mg/L,0.054,0.3,DHEC
CW-232,1/22/2002,10:20:00 AM,mg/L,0.1,0.3,DHEC
CW-029,1/15/2002,10:35:00 AM,mg/L,0.12,0.3,DHEC
CW-175,3/13/2002,10:15:00 AM,mg/L,0.059,0.3,DHEC
CW-232,4/29/2002,12:00:00 AM,mg/L,0.3,0.3,DHEC
CW-016F,8/22/2002,11:30:00 AM,mg/L,0.073,0.3,DHEC
CW-009,4/30/2002,12:30:00 PM,mg/L,0.12,0.3,DHEC
CW-234,3/13/2002,12:00:00 PM,mg/L,0.077,0.3,DHEC
CW-096,1/23/2002,10:35:00 AM,mg/L,0.11,0.3,DHEC
CW-185,4/29/2002,12:00:00 AM,mg/L,0.22,0.3,DHEC
CW-021,2/19/2002,9:55:00 AM,mg/L,0.053,0.3,DHEC
CW-057,4/25/2002,11:25:00 AM,mg/L,0.063,0.3,DHEC
CW-176,8/20/2002,12:45:00 PM,mg/L,0.72,0.3,DHEC
RL-02319,10/31/2002,12:55:00 PM,mg/L,0.28,0.3,DHEC
CW-175,1/8/2002,11:15:00 AM,mg/L,0.085,0.3,DHEC
CW-174,7/2/2002,10:55:00 AM,mg/L,0.23,0.3,DHEC
CW-232,8/20/2002,10:20:00 AM,mg/L,0.16,0.3,DHEC
CW-206,9/18/2002,9:00:00 AM,mg/L,0.12,0.3,DHEC
CW-041,11/14/2002,3:10:00 PM,mg/L,0.074,0.3,DHEC
CW-231,1/31/2002,12:50:00 PM,mg/L,0.072,0.3,DHEC
CW-036,2/20/2002,10:20:00 AM,mg/L,0.055,0.3,DHEC
CW-208,11/14/2002,10:20:00 AM,mg/L,0.16,0.3,DHEC
CW-036,6/26/2002,11:10:00 AM,mg/L,0.059,0.3,DHEC
CW-238,4/25/2002,10:05:00 AM,mg/L,0.66,0.3,DHEC
CW-166,12/16/2002,12:30:00 PM,mg/L,0.077,0.3,DHEC
CW-224,10/23/2002,9:50:00 AM,mg/L,0.084,0.3,DHEC
CW-131,6/25/2002,11:45:00 AM,mg/L,0.18,0.3,DHEC
CW-185,1/22/2002,11:30:00 AM,mg/L,0.1,0.3,DHEC
RL-03336,10/9/2003,10:45:00 AM,mg/L,0.054,0.3,DHEC
CW-079,10/9/2003,9:40:00 AM,mg/L,0.12,0.3,DHEC
CW-083,6/19/2003,2:20:00 PM,mg/L,0.15,0.3,DHEC
CW-225,10/7/2003,12:10:00 PM,mg/L,0.066,0.3,DHEC
CW-080,6/5/2003,9:25:00 AM,mg/L,0.073,0.3,DHEC
CW-238,3/20/2003,9:50:00 AM,mg/L,0.38,0.3,DHEC
CW-238,9/11/2003,11:45:00 AM,mg/L,0.093,0.3,DHEC
CW-236,12/17/2003,10:50:00 AM,mg/L,0.057,0.3,DHEC
CW-057,2/20/2003,3:40:00 PM,mg/L,0.21,0.3,DHEC
CW-057,4/17/2003,11:25:00 AM,mg/L,0.073,0.3,DHEC
RL-03458,12/18/2003,11:55:00 AM,mg/L,0.11,0.3,DHEC
CW-238,5/27/2003,10:00:00 AM,mg/L,0.088,0.3,DHEC
CW-222,7/17/2003,11:40:00 AM,mg/L,0.2,0.3,DHEC
CW-145,8/27/2003,11:50:00 AM,mg/L,0.058,0.3,DHEC
CL-089,10/9/2003,10:10:00 AM,mg/L,0.14,0.3,DHEC
CW-222,11/13/2003,1:10:00 PM,mg/L,0.057,0.3,DHEC
RL-03353,12/18/2003,10:45:00 AM,mg/L,0.11,0.3,DHEC
CW-021,6/5/2003,12:50:00 PM,mg/L,0.086,0.3,DHEC
CW-238,2/10/2003,11:25:00 AM,mg/L,0.3,0.3,DHEC
CW-166,3/20/2003,9:18:00 AM,mg/L,0.11,0.3,DHEC
CW-036,6/19/2003,1:50:00 PM,mg/L,0.16,0.3,DHEC
CW-206,7/17/2003,10:10:00 AM,mg/L,0.17,0.3,DHEC
CL-089,6/5/2003,10:10:00 AM,mg/L,0.086,0.3,DHEC
CW-225,12/17/2003,12:20:00 PM,mg/L,0.054,0.3,DHEC
CW-080,2/10/2003,9:10:00 AM,mg/L,0.13,0.3,DHEC
CW-017,4/1/2003,10:25:00 AM,mg/L,0.2,0.3,DHEC
CL-089,4/10/2003,9:45:00 AM,mg/L,0.05,0.3,DHEC
CW-231,4/17/2003,1:40:00 PM,mg/L,0.058,0.3,DHEC
CW-036,8/27/2003,12:20:00 PM,mg/L,0.051,0.3,DHEC
RL-03332,4/30/2003,11:00:00 AM,mg/L,0.092,0.3,DHEC
CW-041,2/20/2003,2:45:00 PM,mg/L,0.22,0.3,DHEC
CW-017,10/1/2003,10:05:00 AM,mg/L,0.14,0.3,DHEC
CW-222,9/4/2003,11:50:00 AM,mg/L,0.086,0.3,DHEC
RL-03336,4/10/2003,10:20:00 AM,mg/L,0.076,0.3,DHEC
CW-014,6/19/2003,11:20:00 AM,mg/L,0.11,0.3,DHEC
CW-206,3/31/2003,11:00:00 AM,mg/L,0.19,0.3,DHEC
CW-166,1/2/2003,12:33:00 PM,mg/L,0.053,0.3,DHEC
CW-021,10/9/2003,12:40:00 PM,mg/L,0.065,0.3,DHEC
CW-014,12/11/2003,1:55:00 PM,mg/L,0.058,0.3,DHEC
RS-03511,2/11/2003,11:30:00 AM,mg/L,0.058,0.3,DHEC
CW-080,10/9/2003,9:10:00 AM,mg/L,0.092,0.3,DHEC
CW-072,6/9/2003,11:40:00 AM,mg/L,0.072,0.3,DHEC
RL-03336,6/5/2003,10:45:00 AM,mg/L,0.064,0.3,DHEC
CW-145,6/19/2003,2:40:00 PM,mg/L,0.18,0.3,DHEC
CW-250,5/7/2003,9:00:00 AM,mg/L,0.11,0.3,DHEC
CW-041,8/28/2003,2:15:00 PM,mg/L,0.065,0.3,DHEC
CW-079,2/10/2003,9:35:00 AM,mg/L,0.13,0.3,DHEC
CW-017,8/27/2003,10:10:00 AM,mg/L,0.17,0.3,DHEC
CW-237,2/10/2003,10:15:00 AM,mg/L,0.15,0.3,DHEC
CW-238,7/31/2003,10:30:00 AM,mg/L,0.66,0.3,DHEC
CW-079,4/10/2003,11:00:00 AM,mg/L,0.22,0.3,DHEC
RL-03458,10/29/2003,1:40:00 PM,mg/L,0.079,0.3,DHEC
CW-017,6/19/2003,10:20:00 AM,mg/L,0.16,0.3,DHEC
CW-021,8/5/2003,12:15:00 PM,mg/L,0.17,0.3,DHEC
CW-231,12/18/2003,10:15:00 AM,mg/L,0.099,0.3,DHEC
CW-237,8/5/2003,11:40:00 AM,mg/L,0.12,0.3,DHEC
CW-083,12/11/2003,10:30:00 AM,mg/L,0.064,0.3,DHEC
